City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
Belmonte,0,PT,1561747552,42,40.36,-7.35,82.99,8.21
Paranapanema,14,BR,1561747645,57,-23.39,-48.72,78.89,8.5
Beyneu,4,KZ,1561747677,16,45.32,55.19,85.55,8.59
Goderich,90,CA,1561747595,83,43.74,-81.71,79,8.66
Port Shepstone,0,ZA,1561747575,37,-30.74,30.45,66.11,8.68
Hithadhoo,99,MV,1561747605,71,-0.6,73.08,84.11,8.7
Te Anau,86,NZ,1561747637,73,-45.41,167.72,47.93,8.75
Zhanaozen,0,KZ,1561747689,19,43.35,52.85,81.23,8.77
Casa Nova,0,BR,1561747652,27,-16.03,-44.16,82.67,8.79
Plyussa,0,RU,1561747640,56,58.42,29.37,57.47,8.81
Domnesti,0,RO,1561747663,85,45.2,24.83,52.43,8.81
Sangueya,100,GN,1561747642,80,10.7,-14.37,81.59,8.9
Leninskoye,90,RU,1561747647,82,54.82,82.85,59,8.95
Deputatskiy,50,RU,1561747575,69,69.3,139.9,50.45,9.04
Thinadhoo,88,MV,1561747554,71,0.53,72.93,83.93,9.13
Pevek,26,RU,1561747560,77,69.7,170.27,39.83,9.13
Cabo San Lucas,5,MX,1561747313,28,22.89,-109.91,100.99,9.17
Tahoua,0,NE,1561747636,46,14.89,5.26,91.4,9.17
Nantucket,1,US,1561747538,73,41.28,-70.1,84.99,9.17
Clermont,0,FR,1561747637,48,49.38,2.41,88,9.17
Half Moon Bay,90,US,1561747638,77,37.46,-122.43,72,9.17
Qaqortoq,75,GL,1561747639,55,60.72,-46.03,60.8,9.17
Bowen,75,AU,1561747346,82,-20.01,148.25,66,9.17
La Ronge,90,CA,1561747544,68,55.1,-105.3,66.2,9.17
Pozoblanco,0,ES,1561747642,26,38.38,-4.85,96.8,9.17
Ballina,90,IE,1561747546,77,54.11,-9.15,68,9.17
Broome,0,GB,1561747555,82,52.47,1.45,68,9.17
Hilo,40,US,1561747558,78,19.71,-155.08,80.01,9.17
Estelle,0,FR,1561747655,18,43.97,3.47,102.2,9.17
Dakar,75,SN,1561747573,74,14.69,-17.45,80.6,9.17
Narsaq,75,GL,1561747297,55,60.91,-46.05,60.8,9.17
Westport,1,US,1561747383,39,41.14,-73.36,91,9.17
Torbay,90,CA,1561747582,93,47.66,-52.73,57.99,9.17
Bongaree,75,AU,1561747677,87,-27.08,153.16,60.01,9.17
Ancud,0,CL,1561747589,60,-41.87,-73.83,41,9.17
Montoro,0,ES,1561747682,26,38.02,-4.38,96.8,9.17
Port Hawkesbury,75,CA,1561747682,67,45.62,-61.36,64.99,9.17
Castro,0,CL,1561747593,60,-42.48,-73.76,41,9.17
Pisco,75,PE,1561747595,30,-13.71,-76.2,71.6,9.17
Paceco,0,IT,1561747684,88,37.98,12.56,84,9.17
Salalah,75,OM,1561747601,88,17.01,54.1,82.4,9.17
Yellowknife,40,CA,1561747602,51,62.45,-114.38,60.8,9.17
Kerrobert,75,CA,1561747690,68,51.92,-109.14,71.01,9.17
Muros,0,ES,1561747607,68,42.77,-9.06,79,9.17
Coquimbo,75,CL,1561747607,71,-29.95,-71.34,55.4,9.17
Changji,100,CN,1561747676,96,32.07,116.17,74.57,9.19
Bharatpur,15,IN,1561747665,21,27.22,77.5,100.85,9.28
Khanewal,20,PK,1561747675,67,30.3,71.93,93.2,9.31
Khash,0,IR,1561747681,14,28.22,61.21,77.45,9.35
Chokurdakh,0,RU,1561747582,52,70.62,147.9,44.15,9.42
Presidencia Roque Saenz Pena,96,AR,1561747640,55,-26.79,-60.44,82.13,9.55
Rio Grande,90,BR,1561747663,100,-32.03,-52.1,60.8,9.55
Eskil,94,TR,1561747636,30,38.4,33.41,81.05,9.57
Tocopilla,12,CL,1561747567,82,-22.09,-70.2,58.01,9.64
Vanimo,100,PG,1561747688,92,-2.67,141.3,77.45,9.73
Chukhloma,100,RU,1561747681,98,58.76,42.68,51.89,9.82
Kudahuvadhoo,53,MV,1561747692,72,2.67,72.89,83.93,9.89
Vokhtoga,100,RU,1561747641,98,58.81,41.03,51.53,9.95
Valparaiso,40,US,1561747554,48,41.47,-87.06,89.01,9.98
Ponta do Sol,20,BR,1561747360,51,-20.63,-46,74.93,10.07
Sokolka,14,RU,1561747656,92,52.46,43.89,59.45,10.13
Padang,21,ID,1561747593,81,-0.92,100.36,83.57,10.18
Barrow,100,AR,1561747589,68,-38.31,-60.23,54.23,10.2
Albany,1,US,1561747456,37,42.65,-73.75,90,10.29
Wells,24,GB,1561747639,47,51.21,-2.64,80.6,10.29
Nuuk,75,GL,1561747543,70,64.17,-51.74,46,10.29
Floro,75,NO,1561747648,87,61.6,5.03,62.6,10.29
Kuldiga,0,LV,1561747650,76,56.97,21.96,57.2,10.29
Cap-aux-Meules,90,CA,1561747553,82,47.38,-61.86,55.4,10.29
Mareeba,90,AU,1561747555,83,-16.99,145.42,71.6,10.29
Marietta,40,US,1561747382,48,33.95,-84.55,91.99,10.29
Melfi,40,IT,1561747565,24,41,15.66,89.6,10.29
Slave Lake,90,CA,1561747665,93,55.28,-114.77,57.2,10.29
Vieste,40,IT,1561747670,24,41.88,16.18,89.6,10.29
Ixtapa,20,MX,1561747369,74,20.71,-105.21,89.01,10.29
San Angelo,1,US,1561747679,46,31.46,-100.44,91,10.29
Copiapo,75,CL,1561747455,58,-27.37,-70.33,59,10.29
Constitucion,40,MX,1561747600,22,23.99,-104.67,79,10.29
Moree,29,AU,1561747687,76,-29.46,149.84,48.2,10.29
Muisne,75,EC,1561747689,83,0.61,-80.02,82.4,10.29
Hasaki,75,JP,1561747606,94,35.73,140.83,68,10.29
